,0
0,"['gigi', 'hadid', 'loses', 'high', 'heel', 'fashion', 'week', 'walks', 'like', 'pro', 'tmz']"
1,"['hillary', 'clinton', 'really', 'thinks']"
2,"['gwyneth', 'paltrow', 'crashes', 'james', 'goop', 'magazine', 'rant']"
3,"['gold', 'diva', 'macarons', 'scran', 'line']"
4,"['iphone', 'x', 'hands']"
5,"['best', 'features', 'coming', 'iphones']"
6,"['sloane', 'stephens', 'jokes', 'million', 'check', 'inspires', 'keep', 'playing', 'espn']"
7,"['one', 'america', 'appeal', 'friends', 'texas']"
8,"['anvil', 'vs', 'watermelon', 'pyramid', 'crazy', 'drop', 'tests']"
9,"['welcome', 'jurassic', 'falls']"
10,"['bernie', 'sanders', 'tries', 'say', 'something', 'nice', 'trump']"
11,"['sam', 'smith', 'good', 'goodbyes', 'official', 'audio']"
12,"['update', 'problem', 'chemo', 'pills']"
13,"['kids', 'shows', 'honest', 'life']"
14,"['search', 'history', 'say']"
15,"['nerf', 'meets', 'call', 'duty', 'gun', 'game', 'first', 'person', 'k']"
16,"['g', 'eazy', 'limit', 'audio', 'ft', 'ap', 'rocky', 'cardi', 'b']"
17,"['rutgers', 'falls', 'eastern', 'michigan']"
18,"['florida', 'weather', 'cameras', 'hurricane', 'irma', 'cameras', 'across', 'florida']"
19,"['alias', 'grace', 'official', 'trailer', 'hd', 'netflix']"
20,"['dating', 'advice', 'ever', 'need']"
21,"['home', 'movie', 'review']"
22,"['fifth', 'harmony', 'deliver']"
23,"['janet', 'jackson', 'performs', 'dammn', 'baby', 'get', 'lonely', 'live', 'state', 'world', 'tour']"
24,"['jordan', 'peele', 'spike', 'lee', 'team', 'movie', 'black', 'cop', 'infiltrated', 'kkk']"
25,"['zayn', 'dusk', 'till', 'dawn', 'ft', 'sia']"
26,"['orlando', 'braces', 'hurricane', 'irma']"
27,"['nicholas', 'hamilton', 'chosen', 'jacobs', 'play', 'raw', 'whisper', 'challenge']"
28,"['green', 'day', 'dumb', 'die', 'official', 'lyric', 'video']"
29,"['hailee', 'steinfeld', 'alesso', 'ft', 'florida', 'georgia', 'line', 'watt', 'let', 'go', 'official', 'audio']"
30,"['kelly', 'clarkson', 'love', 'soft', 'official', 'video']"
31,"['harry', 'potter', 'theory', 'history', 'hagrid', 'wand']"
32,"['hurricanes', 'irma', 'jose', 'katia']"
33,"['thomas', 'rhett', 'sweetheart', 'static', 'video']"
34,"['suburbicon', 'trailer']"
35,"['live', 'footage', 'hurricane', 'irma', 'destroys', 'maho', 'beach', 'cam', 'st', 'maarten']"
36,"['avenged', 'sevenfold', 'tears', 'go']"
37,"['acting', 'real', 'childhood', 'stories', 'part']"
38,"['taylor', 'swift', 'presents', 'see', 'taylor']"
39,"['american', 'horror', 'story', 'cult', 'bee', 'hive']"
40,"['lecrae', 'hammer', 'time', 'dance', 'visual', 'ft', 'k', 'phew']"
41,"['small', 'hands', 'samsung', 'galaxy', 'note', 'review']"
42,"['online', 'shopping', 'haul', 'shopaholic']"
43,"['liza', 'koshy', 'dream', 'office', 'makeover', 'omg', 'coming', 'mr', 'kate']"
44,"['rhab', 'quintino', 'official', 'video']"
45,"['things', 'need', 'know', 'kittens', 'simon', 'cat']"
46,"['watch', 'live', 'satellite', 'images', 'hurricane', 'irma', 'evacuation', 'orders', 'place', 'florida', 'time']"
47,"['gaga', 'five', 'foot', 'two', 'press', 'conference', 'festival']"
48,"['colin', 'cloud', 'mind', 'reader', 'predicts', 'tweets', 'america', 'got', 'talent']"
49,"['fifth', 'harmony', 'like']"
50,"['apple', 'watch', 'series', 'hands', 'live', 'apple', 'event']"
51,"['chargers', 'vs', 'broncos', 'nfl', 'week', 'game', 'highlights']"
52,"['problem', 'phones']"
53,"['jimmy', 'kimmel', 'talks', 'kristen', 'bell', 'orlando', 'hurricane', 'irma']"
54,"['made', 'dad', 'cry', 'story', 'comeback', 'competition']"
55,"['hours', 'movies', 'whose', 'timelines', 'add']"
56,"['surveying', 'hurricane', 'irma', 'damage', 'southwest', 'florida']"
57,"['live', 'tracking', 'hurricane', 'irma']"
58,"['japan', 'ominous', 'dancing', 'cats', 'disaster', 'followed']"
59,"['rick', 'morty', 'character', 'studies', 'rick', 'rick']"
60,"['tracking', 'hurricane', 'irma']"
61,"['derealisation', 'depersonalisation']"
62,"['hurricane', 'irma', 'makes', 'landfall', 'florida', 'keys', 'powerful', 'category', 'today']"
63,"['testing', 'weird', 'puppy', 'toys', 'puppy', 'cute']"
64,"['fenty', 'beauty', 'rihanna', 'full', 'review']"
65,"['hour', 'test', 'cult', 'beauty', 'buys', 'full', 'face', 'first', 'impressions', 'beauty', 'mi']"
66,"['dried', 'beach', 'bahamas']"
67,"['hurricane', 'irma', 'category', 'could', 'engergize', 'category', 'msnbc']"
68,"['life', 'kylie', 'recap', 'season', 'ep', 'e']"
69,"['galaxy', 'note', 'things', 'first']"
70,"['irmagerd', 'hurricane', 'candy', 'hard', 'make', 'candy', 'rains']"
71,"['hurricane', 'irma', 'news', 'bloopers']"
72,"['hilarious', 'thrift', 'store', 'items']"
73,"['bbc', 'anchor', 'gets', 'lost', 'camera', 'news', 'blooper']"
74,"['hurricane', 'irma', 'roars', 'florida', 'keys', 'continues', 'coast']"
75,"['honda', 'civic', 'small', 'feature', 'never', 'noticed']"
76,"['knock', 'anthony', 'joshua', 'kubrat', 'pulev', 'roughs', 'offers', 'fight', 'kugan', 'cassius']"
77,"['served', 'like', 'girl', 'trailer']"
78,"['gave', 'celebrity', 'hair', 'transformation']"
79,"['hurricane', 'irma', 'emergency', 'fake', 'interpreter']"
80,"['check', 'description', 'southern', 'point', 'live', 'webcam']"
81,"['cal', 'football', 'hc', 'justin', 'wilcox', 'september']"
82,"['salted', 'egg', 'crab', 'street', 'food', 'tour', 'old', 'airport', 'road', 'hawker', 'center']"
83,"['nothing', 'thieves', 'sorry', 'stripped', 'back']"
84,"['us', 'open', 'sloane', 'stephens', 'takes', 'title']"
85,"['garlic', 'knot', 'chicken', 'alfredo', 'ring']"
86,"['days', 'timelapse', 'sea', 'k', 'thunderstorms', 'torrential', 'rain', 'busy', 'traffic']"
87,"['spoiler', 'talk']"
88,"['killer', 'whales', 'attack', 'minke', 'frozen', 'planet', 'bbc', 'earth']"
89,"['first', 'tuned', 'run', 'terry', 'mayhugh', 'quarter', 'scale', 'v', 'merlin']"
90,"['rainbow', 'connection', 'muppets', 'hollywood', 'bowl', 'september', 'hd']"
91,"['los', 'jugadores', 'de', 'sacachispas', 'entraron', 'vestidos', 'de', 'guerreros', 'vs', 'sarmiento', 'copa', 'argentina']"
92,"['rami', 'malek', 'como', 'freddie', 'mercury', 'en', 'live', 'aid']"
93,"['teardown', 'experiments', 'doppler', 'microwave', 'transceiver']"
94,"['svu', 'opener', 'dedication', 'wmv']"
95,"['fenty', 'beauty', 'rihanna', 'hit', 'miss', 'jeffree', 'star']"
96,"['final', 'steps', 'making', 'pyrimethamine', 'daraprim']"
97,"['stephen', 'king', 'difference']"
98,"['roasting', 'youtubers', 'nails', 'nail', 'diss']"
99,"['blake', 'shelton', 'name', 'dogs', 'official', 'music', 'video']"
100,"['dancing', 'movies', 'supercut', 'vol']"
101,"['dad', 'builds', 'palace', 'dogs']"
102,"['game', 'thrones', 'sings', 'look', 'made']"
103,"['hurricane', 'irma', 'warning', 'sign', 'language']"
104,"['smartphone', 'challenge']"
105,['kmart']
106,"['fenty', 'beauty', 'full', 'face', 'beat', 'impressions', 'review']"
107,"['save', 'seat', 'japan']"
108,"['cook', 'power', 'hurricane', 'irma']"
109,"['win', 'australia']"
110,"['rihanna', 'fenty', 'beauty', 'first', 'impressions', 'full', 'face', 'review', 'dark', 'skin', 'msdebdeb']"
111,"['steve', 'bannon', 'trump', 'access', 'hollywood', 'tape', 'litmus', 'test']"
112,"['genres', 'two', 'artists', 'one', 'song', 'voices', 'shape', 'ed', 'sheeran']"
113,"['kane', 'brown', 'found', 'audio']"
114,"['buick', 'skyhawk', 'commercial']"
115,"['nicholls', 'postgame', 'kevin', 'sumlin']"
116,"['calvin', 'harris', 'hard', 'love', 'official', 'video', 'ft', 'jessie', 'reyez']"
117,"['jimmy', 'kimmel', 'full', 'interview', 'sean', 'spicer']"
118,"['iphone', 'plus', 'vs', 'iphone', 'plus', 'worth', 'upgrading']"
119,"['iphone', 'x', 'iphone']"
120,"['mother', 'movie', 'review']"
121,"['jennifer', 'lawrence', 'challenges', 'jimmy', 'axe', 'throwing', 'contest']"
122,"['iphone', 'x', 'impressions', 'hands']"
123,"['real', 'reason', 'kill', 'mockingbird', 'became', 'famous']"
124,"['check', 'hud', 'ben', 'carson', 'hurricanes']"
125,"['need', 'talking', 'american', 'tail']"
126,"['action', 'bronson', 'sean', 'evans', 'sandwich', 'showdown', 'judged', 'mario', 'batali', 'sean', 'wild']"
127,"['galen', 'hooks', 'wait', 'galen', 'hooks', 'film']"
128,"['hurricane', 'jose', 'advisory']"
129,"['rudimental', 'sun', 'comes', 'feat', 'james', 'arthur', 'official', 'video']"
130,"['photograph', 'incredible', 'architecture']"
131,"['chocolate', 'chip', 'cookie', 'cupcakes', 'nerdy', 'nummies']"
132,"['harry', 'styles', 'chain', 'fleetwood', 'mac', 'cover', 'live', 'lounge']"
133,"['obsessed', 'netflix']"
134,"['willow', 'birthday']"
135,"['tommy', 'wiseau', 'james', 'franco', 'perfect', 'disaster', 'artist', 'los', 'angeles', 'times']"
136,"['real', 'clowns', 'creepier', 'pennywise']"
137,"['things', 'need', 'know', 'pennywise']"
138,"['blind', 'taste', 'test', 'grace', 'helbig']"
139,"['iphone', 'x', 'walkthrough', 'animoji', 'face', 'id', 'portrait', 'mode', 'lighting', 'effects']"
140,"['last', 'week', 'tonight', 'john', 'oliver', 'se', 'sep']"
141,"['big', 'announcement', 'popscicle']"
142,"['fall', 'makeup', 'tutorial', 'talk', 'tutorial', 'casey', 'holmes']"
143,"['fifty', 'shades', 'freed', 'teaser', 'hd']"
144,"['qb', 'turned', 'psychic', 'tony', 'romo', 'predicts', 'future']"
145,"['tying', 'shoe']"
146,"['kanye', 'west', 'graduation', 'changed', 'music', 'genius', 'news']"
147,"['seafood', 'vs', 'seafood', 'australia']"
148,"['interview', 'runaway', 'toddler']"
149,"['fail', 'new', 'estee', 'lauder', 'double', 'wear', 'nude', 'first', 'impression', 'review', 'demo', 'days', 'foundation']"
150,"['storm', 'chaser', 'battles', 'hurricane', 'irma', 'powerful', 'winds', 'nbc', 'news']"
151,"['jim', 'carrey', 'sounds', 'icons', 'nyfw', 'e', 'live', 'red', 'carpet']"
152,"['jim', 'carrey', 'bizarre', 'fashion', 'week', 'interview', 'daily', 'pop', 'e', 'news']"
153,"['happens', 'two', 'hurricanes', 'collide']"
154,"['hillary', 'clinton', 'speaks']"
155,"['kirstin', 'bad', 'weather', 'official', 'video']"
156,"['creativity', 'gets', 'noticed', 'feat', 'tango', 'squad', 'adidas']"
157,"['game', 'revealed', 'season', 'episode', 'goodbye', 'kiss']"
158,"['assume', 'sexuality', 'based', 'first', 'impression', 'tell', 'story']"
159,"['drone', 'captures', 'aftermath', 'hurricane', 'irma', 'naples', 'florida']"
160,"['iphone', 'hands', 'overlook', 'big', 'update']"
161,"['computers', 'compress', 'text', 'huffman', 'coding', 'huffman', 'trees']"
162,"['constitution', 'spartans']"
163,"['minelli', 'empty', 'spaces', 'official', 'video', 'ultra', 'music']"
164,"['larry', 'back', 'nothing', 'changed', 'curb', 'enthusiasm', 'season', 'trailer', 'hbo']"
165,"['casually', 'explained', 'ii', 'worst', 'could', 'happen']"
166,"['wolf', 'alice', 'beautifully', 'unconventional']"
167,"['hurricane', 'size', 'comparison']"
168,"['bought', 'entire', 'outfit', 'blindfolded']"
169,"['internet', 'trending', 'dance', 'challenge', 'megan', 'batoon', 'youtube', 'challenges', 'refinery']"
170,"['scores', 'biggest', 'horror', 'opening', 'ever', 'movie', 'talk']"
171,"['easy', 'magic', 'tricks', 'anyone']"
172,"['winch', 'bot', 'scanlime']"
173,"['essential', 'phone', 'drop', 'test', 'titanium', 'ceramic', 'vs', 'gravity']"
174,"['bts', 'singing', 'closer', 'chainsmokers']"
175,"['bioshock', 'made']"
176,"['parcour', 'part', 'road', 'olympics', 'andri', 'ragettli']"
177,"['moment', 'silence', 'national', 'memorial', 'museum']"
178,"['try', 'fall', 'haul', 'fashion', 'drugstore', 'makeup', 'ingrid', 'nilsen']"
179,"['wet', 'book', 'rescue']"
180,"['viral', 'instagram', 'makeup', 'trends', 'wavy', 'eyebrows', 'tested', 'alisha', 'marie']"
181,"['bill', 'skarsgård', 'demonic', 'smile', 'conan', 'tbs']"
182,"['stephen', 'smith', 'calls', 'espn', 'nbarank', 'garbage', 'carmelo', 'anthony', 'rating', 'first', 'take', 'espn']"
183,"['attacked', 'police', 'dog']"
184,"['houston', 'attorney', 'tony', 'buzbee', 'drops', 'tank', 'river', 'oaks', 'blvd']"
185,"['tyrese', 'slamsthe', 'rock', 'fast', 'furious', 'spinoff', 'sju']"
186,"['answering', 'questions', 'qandgay']"
187,"['damage', 'hurricane', 'irma', 'magic', 'kingdom', 'walt', 'disney', 'world']"
188,"['selena', 'gomez', 'hand', 'hand']"
189,"['doom', 'wolfenstein', 'switch', 'announcement', 'trailer']"
190,"['hurricane', 'irma', 'death', 'toll', 'rises', 'cuba']"
191,"['commuter', 'teaser', 'trailer', 'movieclips', 'trailers']"
192,"['queen', 'live', 'aid', 'part', 'high', 'quality']"
193,"['更なるフィット感を追求するねこ', 'maru', 'wishes', 'fitting', 'feeling']"
194,"['mystery', 'caboodle']"
195,"['usher', 'blake', 'shelton', 'stand', 'hand', 'hand', 'benefit', 'hurricane', 'relief', 'mtv']"
196,"['san', 'cisco', 'distance', 'official', 'music', 'video']"
197,"['wore', 'new', 'york', 'fashion', 'week']"
198,"['genesis', 'ibex', 'cassini', 'scishow', 'talk', 'show']"
199,"['lexus', 'lc', 'costs']"
200,"['jennifer', 'lawrence', 'tore', 'diaphragm', 'filming', 'mother']"
201,"['jumping', 'impossible', 'shapes']"
202,"['joe', 'arpaio', 'last', 'week', 'tonight', 'john', 'oliver', 'hbo']"
203,"['season', 'preview', 'white', 'people', 'renovating', 'houses']"
204,"['im', 'gonna', 'father', 'things', 'got', 'awkward']"
205,"['drowning', 'power', 'rooster', 'teeth', 'animated', 'adventures']"
206,"['apple', 'watch', 'series', 'hands']"
207,"['fenty', 'beauty', 'pro', 'filt', 'r', 'foundation', 'review', 'nyma', 'tang', 'thedarkestshade']"
208,"['bonnie', 'mckee', 'thorns']"
209,"['blueborne', 'android', 'take', 'demo']"
210,"['make', 'real', 'kingsman', 'umbrella', 'gun']"
211,"['make', 'lloyd', 'new', 'lego', 'ninjago', 'movie', 'cake', 'yolanda', 'gampp', 'cake']"
212,"['fenty', 'beauty', 'rihanna', 'review', 'wear', 'test']"
213,"['lemon', 'praises', 'chunky', 'cnn', 'reporter', 'facing', 'irma', 'wrath', 'nothing', 'wrong', 'little', 'curve']"
214,"['day', 'beach', 'mayor', 'steve', 'fulop']"
215,"['delicious', 'chocolate', 'cupcakes', 'minutes', 'scran', 'line']"
216,"['mondeo', 'driver', 'desperate', 'overtake', 'get', 'stuck', 'traffic']"
217,"['fuller', 'house', 'season', 'official', 'trailer', 'hd', 'netflix']"
218,"['full', 'canelo', 'alvarez', 'vs', 'gennady', 'golovkin', 'weigh', 'espn']"
